system_type,seed_a,seed_b,marginal_jsd,transition_jsd,structural_consistency,domain_variant
HEB,8,1008,0.003056,0.016113,0.080851,B1
HEB,9,1009,0.01407,0.013105,0.001066,B1
HEB,10,1010,0.017233,0.018507,0.173226,B1
HEB,11,1011,0.020414,0.019853,0.001861,B1
HEB,12,1012,0.009922,0.02293,0.076975,B1
HEB,13,1013,0.016884,0.021557,0.043335,B1
HEB,14,1014,0.010853,0.01797,0.00503,B1
HEB,15,1015,0.033494,0.02538,0.089474,B1
HEB,16,1016,0.010919,0.017093,0.079251,B1
HEB,17,1017,0.002028,0.014767,0.027933,B1
HEB,18,1018,0.031351,0.022657,0.029113,B1
HEB,19,1019,0.002776,0.018893,0.128818,B1
HEB,20,1020,0.015054,0.021853,0.012906,B1
HEB,21,1021,0.014871,0.018065,0.025116,B1
HEB,22,1022,0.013015,0.029125,0.189955,B1
HEB,23,1023,0.004595,0.012956,0.01419,B1
HEB,24,1024,0.005598,0.013492,0.132657,B1
HEB,25,1025,0.020742,0.026926,0.011074,B1
HEB,26,1026,0.01004,0.025449,0.013108,B1
HEB,27,1027,0.018383,0.012716,0.028145,B1
HEB,28,1028,0.012271,0.01466,0.084084,B1
HEB,29,1029,0.024338,0.022528,0.021381,B1
HEB,30,1030,0.021147,0.023431,0.002762,B1
HEB,31,1031,0.003421,0.017623,0.174433,B1
HEB,32,1032,0.006466,0.016243,0.135896,B1
HEB,33,1033,0.020655,0.017137,0.047005,B1
HEB,34,1034,0.006418,0.022506,0.139003,B1
HEB,35,1035,0.024695,0.023445,0.191383,B1
HEB,36,1036,0.016523,0.027435,0.003194,B1
HEB,37,1037,0.00933,0.01678,4.1e-05,B1
HEB,38,1038,0.016489,0.025786,0.002093,B1
HEB,39,1039,0.033095,0.020176,0.000988,B1
HEB,40,1040,0.010687,0.019106,0.02069,B1
HEB,41,1041,0.008451,0.018961,0.488052,B1
HEB,42,1042,0.010635,0.030274,0.020663,B1
HEB,43,1043,0.005989,0.006765,0.04462,B1
HEB,44,1044,0.023919,0.024794,0.131267,B1
HEB,45,1045,0.019463,0.016665,0.48311,B1
HEB,46,1046,0.032137,0.024248,0.019019,B1
HEB,47,1047,0.005815,0.017367,0.012319,B1
HEB,48,1048,0.01228,0.020973,0.002267,B1
HEB,49,1049,0.012237,0.018567,0.091695,B1
HEB,0,1000,0.019251,0.015462,0.012204,B2
HEB,1,1001,0.009663,0.012572,0.001257,B2
HEB,2,1002,0.019596,0.018915,0.042132,B2
HEB,3,1003,0.007828,0.030717,0.006242,B2
HEB,4,1004,0.03524,0.02613,0.01724,B2
HEB,5,1005,0.007153,0.017395,0.014123,B2
HEB,6,1006,0.023372,0.025075,0.004576,B2
HEB,7,1007,0.019855,0.010842,0.12745,B2
HEB,8,1008,0.009425,0.018213,0.026509,B2
HEB,9,1009,0.023902,0.022158,0.012207,B2
HEB,10,1010,0.024672,0.019377,0.031353,B2
HEB,11,1011,0.013635,0.014959,0.006822,B2
HEB,12,1012,0.00437,0.019744,0.009986,B2
HEB,13,1013,0.019293,0.022591,0.007753,B2
HEB,14,1014,0.010387,0.013112,0.001004,B2
HEB,15,1015,0.009712,0.020398,0.003211,B2
HEB,16,1016,0.006098,0.013004,0.014313,B2
HEB,17,1017,0.019541,0.020881,0.009251,B2
HEB,18,1018,0.018311,0.022367,0.003608,B2
HEB,19,1019,0.013132,0.018761,0.001825,B2
HEB,20,1020,0.015811,0.015752,0.005893,B2
HEB,21,1021,0.014945,0.014003,0.006379,B2
HEB,22,1022,0.026701,0.024837,0.011537,B2
HEB,23,1023,0.007848,0.017596,0.008172,B2
HEB,24,1024,0.020344,0.012263,0.009569,B2
HEB,25,1025,0.016781,0.015758,0.015694,B2
HEB,26,1026,0.002087,0.02023,0.021951,B2
HEB,27,1027,0.021518,0.018934,0.035903,B2
HEB,28,1028,0.01072,0.018748,0.002008,B2
HEB,29,1029,0.013755,0.014322,0.003878,B2
HEB,30,1030,0.028689,0.022096,0.033243,B2
HEB,31,1031,0.007717,0.020208,0.009074,B2
HEB,32,1032,0.01389,0.025538,0.009216,B2
HEB,33,1033,0.02149,0.01548,0.004447,B2
HEB,34,1034,0.007228,0.015051,0.004292,B2
HEB,35,1035,0.004748,0.015508,0.015645,B2
HEB,36,1036,0.01086,0.016093,0.018894,B2
HEB,37,1037,0.020609,0.032864,0.019979,B2
HEB,38,1038,0.012194,0.009865,0.026625,B2
HEB,39,1039,0.031571,0.016345,0.001982,B2
HEB,40,1040,0.049862,0.028196,0.013655,B2
HEB,41,1041,0.009294,0.014501,0.007798,B2
HEB,42,1042,0.013435,0.013652,0.006726,B2
HEB,43,1043,0.006116,0.021995,0.007439,B2
HEB,44,1044,0.010502,0.026598,0.018466,B2
HEB,45,1045,0.022962,0.017351,0.004907,B2
HEB,46,1046,0.02033,0.027066,0.019367,B2
HEB,47,1047,0.020438,0.018608,0.004747,B2
HEB,48,1048,0.018156,0.024915,0.023332,B2
HEB,49,1049,0.004241,0.015022,0.002281,B2
3D,0,1000,0.01949,0.02663,0.006714,B1
3D,1,1001,0.024878,0.025039,0.009007,B1
3D,2,1002,0.019729,0.014205,0.004822,B1
3D,3,1003,0.032797,0.02508,0.082937,B1
3D,4,1004,0.027046,0.027369,0.022556,B1
3D,5,1005,0.004308,0.013042,0.207326,B1
3D,6,1006,0.032355,0.029752,0.035511,B1
3D,7,1007,0.013681,0.020482,0.00588,B1
3D,8,1008,0.010575,0.016576,0.006955,B1
3D,9,1009,0.023581,0.01821,0.006924,B1
3D,10,1010,0.027557,0.020509,0.010369,B1
3D,11,1011,0.005336,0.021806,0.00222,B1
3D,12,1012,0.011376,0.018855,0.096483,B1
3D,13,1013,0.018006,0.014735,0.056095,B1
3D,14,1014,0.009593,0.01279,0.132947,B1
3D,15,1015,0.004622,0.013652,0.003033,B1
3D,16,1016,0.016913,0.026242,0.237811,B1
3D,17,1017,0.008088,0.017957,0.010782,B1
3D,18,1018,0.018407,0.021538,0.242881,B1
3D,19,1019,0.007007,0.028487,0.080654,B1
3D,20,1020,0.011759,0.012878,0.003693,B1
3D,21,1021,0.042732,0.028236,0.13452,B1
3D,22,1022,0.01754,0.019859,0.250789,B1
3D,23,1023,0.004443,0.011489,0.01089,B1
3D,24,1024,0.005627,0.014329,0.12749,B1
3D,25,1025,0.02908,0.026603,0.0928,B1
3D,26,1026,0.006926,0.021709,0.011616,B1
3D,27,1027,0.014875,0.023546,0.002102,B1
3D,28,1028,0.024625,0.020956,0.399324,B1
3D,29,1029,0.04056,0.024209,0.211503,B1
3D,30,1030,0.028861,0.027796,0.011454,B1
3D,31,1031,0.003172,0.018211,0.048825,B1
3D,32,1032,0.011037,0.023424,0.001115,B1
3D,33,1033,0.005428,0.016235,0.017464,B1
3D,34,1034,0.006065,0.025079,0.001098,B1
3D,35,1035,0.005511,0.012966,0.012982,B1
3D,36,1036,0.016299,0.023124,0.031207,B1
3D,37,1037,0.021772,0.027858,0.007416,B1
3D,38,1038,0.032643,0.029741,0.00584,B1
3D,39,1039,0.008771,0.026658,0.13229,B1
3D,40,1040,0.017955,0.018868,0.033284,B1
3D,41,1041,0.006599,0.034135,0.003621,B1
3D,42,1042,0.021836,0.022843,0.053002,B1
3D,43,1043,0.016246,0.021338,0.23225,B1
3D,44,1044,0.015817,0.019259,0.004454,B1
3D,45,1045,0.04573,0.040491,0.063101,B1
3D,46,1046,0.016102,0.014605,0.234072,B1
3D,47,1047,0.011723,0.022778,0.012131,B1
3D,48,1048,0.024741,0.021711,0.016358,B1
3D,49,1049,0.022168,0.022541,0.054373,B1
3D,0,1000,0.011047,0.030656,0.003892,B2
3D,1,1001,0.010243,0.014846,0.012262,B2
3D,2,1002,0.021494,0.018295,0.029294,B2
3D,3,1003,0.013166,0.027473,0.02785,B2
3D,4,1004,0.027476,0.022494,0.005601,B2
3D,5,1005,0.010959,0.018991,0.015388,B2
3D,6,1006,0.020084,0.018444,0.012277,B2
3D,7,1007,0.032099,0.025264,0.07092,B2
3D,8,1008,0.028765,0.027367,0.005426,B2
3D,9,1009,0.00861,0.023663,0.013698,B2
3D,10,1010,0.035665,0.03455,0.011655,B2
3D,11,1011,0.006601,0.023643,0.007683,B2
